#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000
   0.0000000    2.9559794499e-05    2.3229520263e-22    1.8927711287e-06    8.2767624691e-24
   1.0000000    2.9558337177e-05    6.3350099424e-22    1.8913594238e-06    8.2886110766e-24
   2.0000000    2.9519115539e-05    4.9391943458e-22    1.8909413593e-06   -1.1410662262e-23
   3.0000000    2.9478484192e-05    9.1583260340e-22    1.8886114495e-06   -2.4924036003e-24
   4.0000000    2.9452729616e-05    7.4999994564e-22    1.8859162486e-06    8.1422792355e-24
   5.0000000    2.9424083685e-05    7.2554951140e-22    1.8853858646e-06   -7.8798939032e-24
   6.0000000    2.9383553816e-05    7.5935795227e-22    1.8878666541e-06   -1.0785690949e-23
   7.0000000    2.9338647145e-05    1.0038591813e-21    1.8912108781e-06   -5.6241966827e-24
   8.0000000    2.9291591283e-05    6.9383507801e-22    1.8927701363e-06    3.7471069671e-23
   9.0000000    2.9243630082e-05    4.6873106912e-22    1.8922520757e-06    1.1991753673e-23
  10.0000000    2.9194006319e-05    7.2575653971e-22    1.8911000621e-06   -1.0648583827e-23
  11.0000000    2.9135811448e-05    5.3488553254e-22    1.8901545537e-06   -1.5724277527e-23
  12.0000000    2.9063251170e-05    5.2405755600e-22    1.8892185735e-06   -1.2392157270e-23
  13.0000000    2.8977110671e-05    8.3694865135e-22    1.8881861650e-06   -8.1907838595e-24
  14.0000000    2.8879480186e-05    3.2125444368e-22    1.8873079703e-06    3.8909774965e-24
  15.0000000    2.8769254531e-05    7.6263863375e-22    1.8865453139e-06    6.5683172269e-24
  16.0000000    2.8643841898e-05    2.9761958922e-22    1.8855070768e-06    1.5786846201e-23
  17.0000000    2.8501690894e-05    3.8159300788e-22    1.8840288618e-06    7.5339695886e-24
  18.0000000    2.8336856507e-05    4.3354943661e-22    1.8823888158e-06   -7.1043493372e-24
  19.0000000    2.8140448865e-05    8.1679378623e-22    1.8809473993e-06    2.5253894269e-24
  20.0000000    2.7940840763e-05    3.2751637371e-22    1.8797834296e-06    2.8630141306e-24
  21.0000000    2.7733966615e-05    5.3516583677e-22    1.8786866799e-06   -2.8304933821e-24
  22.0000000    2.7294760907e-05    4.4834013789e-22    1.8774022436e-06   -3.3475858622e-24
  23.0000000    2.6858735980e-05    3.2707704412e-22    1.8758477229e-06   -7.2686143228e-24
  24.0000000    2.7191192302e-05    1.0635911337e-21    1.8741134884e-06    3.4551537928e-24
  25.0000000    2.6554708696e-05   -1.6739209082e-22    1.8723182178e-06   -2.8742052495e-23
  26.0000000    2.3666753805e-05   -5.2542384822e-21    1.8705461511e-06    8.3483346313e-25
  27.0000000    2.6713761726e-05   -1.6244080301e-21    1.8688851539e-06   -6.5162599986e-24
  28.0000000    3.6605641389e-05    1.8678966082e-20    1.8673691971e-06   -1.2253537325e-23
  29.0000000    2.4589492081e-05    2.4329302855e-20    1.8658342133e-06    6.9635804348e-24
  30.0000000   -1.7759014886e-05   -2.1208030817e-20    1.8639555650e-06   -9.4221933185e-24
  31.0000000   -2.6563952998e-05   -5.9310921294e-20    1.8615170158e-06    1.5271741477e-23
  32.0000000    4.1180822367e-05   -2.2341499440e-20    1.8585920170e-06   -8.8060688296e-24
  33.0000000    1.1080520244e-04    4.8973709488e-20    1.8554176875e-06    1.1237304835e-23
  34.0000000    9.7452197249e-05    7.1935649267e-20    1.8521478713e-06   -1.3636913409e-23
  35.0000000    9.6179557381e-06    3.8590834012e-20    1.8487729198e-06    7.8287836901e-24
  36.0000000   -1.0810512418e-04   -5.0928535212e-20    1.8452183583e-06   -1.3631694084e-23
  37.0000000   -1.5245041381e-04   -1.6292587037e-19    1.8414297075e-06   -2.5480855386e-23
  38.0000000   -1.4332706701e-05   -4.7929961670e-20    1.8373448130e-06   -6.0069644771e-24
  39.0000000    1.4695565373e-04    1.7355076403e-19    1.8328392462e-06   -1.2272986537e-24
  40.0000000    7.4082317108e-05    1.5042152243e-19    1.8277576688e-06   -1.3999381018e-23
  41.0000000   -1.1186529094e-04   -5.3798750210e-20    1.8220204893e-06    7.7960809928e-24
  42.0000000   -1.3085260553e-04   -1.2328525653e-19    1.8156886605e-06   -3.4828264186e-24
  43.0000000   -2.9755699152e-05   -7.1675469779e-20    1.8089005978e-06   -8.7505192661e-24
  44.0000000   -2.2561442563e-05   -8.5888267219e-21    1.8017507202e-06    3.4061144287e-24
  45.0000000   -1.3970641783e-04    5.5085613639e-20    1.7942568580e-06   -2.4774886703e-24
  46.0000000   -2.4762209193e-04    6.6974550471e-20    1.7862256667e-06   -7.9973535280e-26
  47.0000000   -2.2165549097e-04   -4.8675467151e-22    1.7765794139e-06    3.9466693339e-24
  48.0000000   -6.6116750923e-05   -6.5510383058e-20    1.7633970147e-06   -9.5049763695e-24
  49.0000000    6.1239084374e-05    2.0186203945e-20    1.7479884436e-06   -1.0658796673e-24
  50.0000000    3.8037251845e-07    1.1823893144e-19    1.7401269398e-06   -4.4871118264e-24
  51.0000000   -2.1986894089e-04    6.3477375366e-20    1.7487119799e-06    4.3411591483e-24
  52.0000000   -4.0556204733e-04   -5.5206393411e-20    1.7537944536e-06    1.0824484876e-23
  53.0000000   -3.9289082974e-04   -1.4642925139e-19    1.7041951301e-06    1.9678670917e-23
  54.0000000   -1.8867213739e-04   -1.2123525634e-19    1.5858891571e-06   -1.5855329534e-23
  55.0000000    5.2755273375e-05   -2.5064026731e-20    1.4840270870e-06   -2.0978944983e-22
  56.0000000    1.8775497094e-04    7.2685354735e-20    1.4950391374e-06   -4.1548971136e-22
  57.0000000    2.1908517088e-04    8.2171306620e-20    1.6064656218e-06    3.2416654394e-22
  58.0000000    2.3712687038e-04    7.3722136020e-20    1.9274864921e-06    2.3267957432e-21
  59.0000000    2.6074696700e-04    5.4150344499e-20    3.0732927202e-06    3.4544283253e-21
  60.0000000    2.4319028861e-04    3.1273363231e-20    5.4173222615e-06   -4.8945344079e-22
  61.0000000    2.1357924066e-04   -1.9039335564e-20    6.7101089259e-06   -1.0891474928e-20
  62.0000000    2.7031277998e-04   -6.2843847170e-20    1.2312106214e-06   -1.6948440731e-20
  63.0000000    4.1145944227e-04   -7.2872636063e-20   -1.4605887630e-05   -7.0919302861e-21
  64.0000000    4.8412687767e-04   -3.6159548132e-20   -3.2057204385e-05    2.1850461488e-20
  65.0000000    3.6925267214e-04    1.5991026616e-20   -2.8468313744e-05    4.4756457275e-20
  66.0000000    1.5203160915e-04    3.8608398085e-20    1.3637864407e-05    3.4646666636e-20
  67.0000000    1.7938333424e-05    2.3131115339e-20    7.7628382609e-05   -1.3781926772e-20
  68.0000000    3.8013969460e-05    7.5096633648e-21    1.0838114631e-04   -5.4715320752e-20
  69.0000000    1.5107781928e-04    1.3324769014e-20    5.4821694540e-05   -7.2203336680e-20
  70.0000000    2.6860140813e-04    2.2835224989e-20   -6.9431217061e-05   -4.2056323068e-20
  71.0000000    3.0517758422e-04    7.6629159228e-21   -1.7416919795e-04   -6.6859853310e-21
  72.0000000    1.9567247972e-04   -2.7599792645e-20   -1.6234687670e-04    5.0023859801e-20
  73.0000000   -4.0818027836e-05   -3.3861311160e-20   -2.5757747625e-05    1.3793618028e-19
  74.0000000   -2.8826789316e-04   -1.3873643316e-20    1.3390908760e-04    1.5676586196e-19
  75.0000000   -4.1197361407e-04    1.1339348007e-20    1.9271646199e-04    4.5898263273e-20
  76.0000000   -3.5235691567e-04    1.6845440821e-20    1.1774533395e-04   -1.9862038584e-19
  77.0000000   -1.5691988832e-04    1.4834248777e-20   -1.1493933242e-05   -3.4997501966e-19
  78.0000000    5.7706389980e-05    8.5022488894e-21   -9.2221398085e-05   -1.7014646148e-19
  79.0000000    1.7137497193e-04   -1.0172956430e-20   -9.4590172106e-05    2.4952447882e-19
  80.0000000    1.2755066342e-04   -2.9052894426e-20   -6.3400309032e-05    5.0410983364e-19
  81.0000000   -2.5369167946e-05   -2.9270957167e-20   -4.2790188394e-05    2.4745747970e-19
  82.0000000   -1.6557099744e-04   -1.3637945532e-20   -2.5608151896e-05   -3.1790186361e-19
  83.0000000   -1.9032082317e-04    4.4354885680e-21    1.6877140519e-05   -6.0493429598e-19
  84.0000000   -9.0412165331e-05    1.6691236804e-20    7.5717379873e-05   -2.7682740796e-19
  85.0000000    5.0592289188e-05    2.5285254498e-20    9.8175227301e-05    3.2594286860e-19
  86.0000000    1.2756669049e-04    3.5618342695e-20    4.4336736263e-05    5.9500793415e-19
  87.0000000    9.8727501059e-05    3.0648543566e-20   -6.1667880311e-05    2.7003221159e-19
  88.0000000    9.1763525087e-06    4.8296768778e-21   -1.4567068465e-04   -2.5076231564e-19
  89.0000000   -6.4941167999e-05   -3.2280135981e-20   -1.4824982815e-04   -4.3271301396e-19
  90.0000000   -8.4107499810e-05   -5.5065726335e-20   -7.4055090481e-05   -1.9489319521e-19
  91.0000000   -5.8223168664e-05   -4.2598658329e-20    1.8099043165e-05    1.1938698952e-19
  92.0000000   -1.5961216002e-05   -6.8408549284e-21    6.5930814477e-05    1.9435935656e-19
  93.0000000    2.0956553256e-05    3.1182513056e-20    4.4207392653e-05    6.4138135516e-20
  94.0000000    4.2588040443e-05    4.9027951031e-20   -3.2809206596e-05   -3.9997555559e-20
  95.0000000    4.7094691769e-05    3.7576485097e-20   -1.3230281142e-04   -3.2587987883e-20
  96.0000000    3.6923484140e-05    8.5530200688e-21   -2.1903234184e-04    1.2175714915e-20
  97.0000000    1.6734013800e-05   -1.8956439129e-20   -2.6019386260e-04    1.3285845419e-20
  98.0000000   -6.5501341819e-06   -3.1735539690e-20   -2.3333957853e-04   -1.1481360606e-20
  99.0000000   -2.4572501162e-05   -2.4167162171e-20   -1.4409291141e-04    1.2024766570e-21
 100.0000000   -3.0685447920e-05   -7.0977430014e-21   -3.7579855113e-05    3.1579240722e-20
 101.0000000   -2.3340518186e-05    7.8354917784e-21    1.8342280229e-05    2.5826934250e-20
 102.0000000   -7.1410450791e-06    1.6173397834e-20   -2.2883902424e-05   -2.8611912432e-20
 103.0000000    1.0249702392e-05    1.2725155096e-20   -1.4587280748e-04   -7.6300128441e-20
 104.0000000    2.1989905069e-05    4.8111764795e-21   -2.7215131178e-04   -4.3624736487e-20
 105.0000000    2.3596627156e-05   -2.6886487991e-21   -3.0733130095e-04    5.1117855463e-20
 106.0000000    1.5696536604e-05   -3.2869604915e-21   -2.0616318231e-04    1.1958068024e-19
 107.0000000    5.2342368086e-06   -1.2252451265e-21   -6.4212891492e-06    9.7767849944e-20
 108.0000000   -1.3250541244e-06   -4.9058789661e-21    1.9658952258e-04    1.0444744971e-20
 109.0000000   -3.7519037290e-06   -9.6977265611e-21    3.1642897200e-04   -8.2905779556e-20
 110.0000000   -3.9882330546e-06   -8.8215451908e-21    3.3094952913e-04   -9.8498356245e-20
 111.0000000   -2.0049108777e-06    1.7290336624e-21    2.8525569083e-04   -4.2010105780e-20
 112.0000000    2.2339511797e-06    1.3799039903e-20    2.4589304065e-04    2.5014755980e-20
 113.0000000    7.3950288762e-06    1.6249118182e-20    2.4865275994e-04    4.3153250000e-20
 114.0000000    1.1599867374e-05    8.6301692012e-21    2.8122556256e-04    1.1721304376e-20
 115.0000000    1.2787052708e-05   -3.8927636615e-21    3.0665001495e-04   -2.7532525743e-20
 116.0000000    9.8506397218e-06   -1.3317462459e-20    2.9941806374e-04   -4.0368507694e-20
 117.0000000    4.0861945847e-06   -1.5707171093e-20    2.6221571482e-04   -1.4443297278e-20
 118.0000000   -1.4639763364e-06   -9.5095655899e-21    2.1509180412e-04    3.0991355625e-20
 119.0000000   -4.0094341787e-06    1.8788050521e-21    1.7390721068e-04    5.4247667794e-20
 120.0000000   -2.4744926171e-06    1.2233852626e-20    1.3922503291e-04    5.0696258307e-20
 121.0000000    2.1482013521e-06    1.5310977429e-20    1.0183836332e-04    1.9922903547e-20
 122.0000000    7.4949087539e-06    1.0028644043e-20    5.5075142822e-05   -2.0710663834e-20
 123.0000000    1.1058706798e-05   -5.6679966536e-22    1.1373879211e-06   -4.7253338727e-20
 124.0000000    1.1330566340e-05   -1.0626647158e-20   -5.2206001664e-05   -5.4655803878e-20
 125.0000000    8.3046161012e-06   -1.2947593172e-20   -9.8491248581e-05   -3.6548794420e-20
 126.0000000    3.2454139523e-06   -8.1806223877e-21   -1.3529197193e-04   -5.8904565396e-21
 127.0000000   -1.6608807088e-06    3.3962226494e-22   -1.6117894431e-04    1.2134429393e-20
 128.0000000   -3.9945750602e-06    7.7774881613e-21   -1.7187985641e-04    1.0934655614e-20
 129.0000000   -2.4726082015e-06    9.5854367929e-21   -1.6135102610e-04    1.4382861395e-21
 130.0000000    2.2047402207e-06    5.7072166468e-21   -1.2802326164e-04   -8.9259508937e-21
 131.0000000    7.7097786254e-06   -9.0037317207e-22   -8.0333395678e-05   -1.0528148041e-20
 132.0000000    1.1207160824e-05   -5.7023828101e-21   -3.5099668895e-05   -6.6231317671e-22
 133.0000000    1.0892847165e-05   -6.2908038781e-21   -8.3847728560e-06    1.1803298654e-20
 134.0000000    7.0051080146e-06   -3.2165952095e-21   -5.5489746149e-06    1.8950242544e-20
 135.0000000    1.5377919715e-06    1.8528522604e-21   -1.8428403499e-05    1.8952568990e-20
 136.0000000   -2.8384123710e-06    5.1000531525e-21   -3.1841659848e-05    1.3213874243e-20
